110306,Sunda Teal,http://orientalbirdimages.org./search.php?Bird_ID=179&Bird_Image_ID=110306,Anas gibberifrons,53
119814,Surf Scoter,http://orientalbirdimages.org./search.php?Bird_ID=219&Bird_Image_ID=119814,Melanitta perspicillata,13
124118,Tufted Duck,http://orientalbirdimages.org./search.php?Bird_ID=195&Bird_Image_ID=124118,Aythya fuligula,108
20807,Velvet Scoter,http://orientalbirdimages.org./search.php?Bird_ID=207&Bird_Image_ID=20807,Melanitta fusca,4
119813,White-winged Scoter,http://orientalbirdimages.org./search.php?Bird_ID=2801&Bird_Image_ID=119813,Melanitta deglandi,8
28427,+?Pink-headed Duck,http://orientalbirdimages.org./search.php?Bird_ID=186&Bird_Image_ID=28427,Rhodonessa caryophyllacea,4
108076,Australian Shelduck,http://orientalbirdimages.org./search.php?Bird_ID=2995&Bird_Image_ID=108076,Tadorna tadornoides,1
124931,Bar-headed Goose,http://orientalbirdimages.org./search.php?Bird_ID=153&Bird_Image_ID=124931,Anser indicus,176
116692,Bean Goose,http://orientalbirdimages.org./search.php?Bird_ID=164&Bird_Image_ID=116692,Anser fabalis,54
83341,Brent Goose,http://orientalbirdimages.org./search.php?Bird_ID=157&Bird_Image_ID=83341,Branta bernicla,10
5862,Cackling Goose,http://orientalbirdimages.org./search.php?Bird_ID=163&Bird_Image_ID=5862,Branta hutchinsii,3
124710,Comb Duck,http://orientalbirdimages.org./search.php?Bird_ID=165&Bird_Image_ID=124710,Sarkidiornis melanotos,180
118800,Common Shelduck,http://orientalbirdimages.org./search.php?Bird_ID=161&Bird_Image_ID=118800,Tadorna tadorna,48
124077,Cotton Pygmy-goose,http://orientalbirdimages.org./search.php?Bird_ID=149&Bird_Image_ID=124077,Nettapus coromandelianus,114
13199,Emperor Goose,http://orientalbirdimages.org./search.php?Bird_ID=156&Bird_Image_ID=13199,Anser canagicus,3
113051,Greater White-fronted Goose,http://orientalbirdimages.org./search.php?Bird_ID=151&Bird_Image_ID=113051,Anser albifrons,43
32664,Green Pygmy-goose,http://orientalbirdimages.org./search.php?Bird_ID=148&Bird_Image_ID=32664,Nettapus pulchellus,1
123316,Greylag Goose,http://orientalbirdimages.org./search.php?Bird_ID=152&Bird_Image_ID=123316,Anser anser,91
102517,Lesser White-fronted Goose,http://orientalbirdimages.org./search.php?Bird_ID=147&Bird_Image_ID=102517,Anser erythropus,38
101917,Raja Shelduck,http://orientalbirdimages.org./search.php?Bird_ID=162&Bird_Image_ID=101917,Tadorna radjah,11
88978,Red-breasted Goose,http://orientalbirdimages.org./search.php?Bird_ID=158&Bird_Image_ID=88978,Branta ruficollis,3
13296,Ross's Goose,http://orientalbirdimages.org./search.php?Bird_ID=155&Bird_Image_ID=13296,Anser rossii,4
124792,Ruddy Shelduck,http://orientalbirdimages.org./search.php?Bird_ID=159&Bird_Image_ID=124792,Tadorna ferruginea,147
116384,Snow Goose,http://orientalbirdimages.org./search.php?Bird_ID=154&Bird_Image_ID=116384,Anser caerulescens,6
105591,Swan Goose,http://orientalbirdimages.org./search.php?Bird_ID=150&Bird_Image_ID=105591,Anser cygnoid,9
118698,White-winged Duck,http://orientalbirdimages.org./search.php?Bird_ID=146&Bird_Image_ID=118698,Asarcornis scutulata,52
119424,Mute Swan,http://orientalbirdimages.org./search.php?Bird_ID=168&Bird_Image_ID=119424,Cygnus olor,15
44682,Trumpeter Swan,http://orientalbirdimages.org./search.php?Bird_ID=2867&Bird_Image_ID=44682,Cygnus buccinator,4
83342,Tundra Swan,http://orientalbirdimages.org./search.php?Bird_ID=167&Bird_Image_ID=83342,Cygnus columbianus,22
74734,Whooper Swan,http://orientalbirdimages.org./search.php?Bird_ID=166&Bird_Image_ID=74734,Cygnus cygnus,28
116194,Fulvous Whistling-duck,http://orientalbirdimages.org./search.php?Bird_ID=170&Bird_Image_ID=116194,Dendrocygna bicolor,32
124208,Lesser Whistling-duck,http://orientalbirdimages.org./search.php?Bird_ID=171&Bird_Image_ID=124208,Dendrocygna javanica,158
